iter	Passed	Remaining
0	2	232
1	3	181
2	5	164
3	6	150
4	7	148
5	9	150
6	11	146
7	12	141
8	13	137
9	15	135
10	16	133
11	18	132
12	19	131
13	21	130
14	22	129
15	24	128
16	25	125
17	27	123
18	28	122
19	30	120
20	31	118
21	33	117
22	34	116
23	36	115
24	37	113
25	39	111
26	40	109
27	41	106
28	42	105
29	44	103
30	45	102
31	47	100
32	48	98
33	49	96
34	51	95
35	52	93
36	54	92
37	55	90
38	57	89
39	58	87
40	60	86
41	60	83
42	62	82
43	63	81
44	65	79
45	66	78
46	67	76
47	69	75
48	70	73
49	72	72
50	73	70
51	75	69
52	76	68
53	78	66
54	79	65
55	80	63
56	82	62
57	83	60
58	85	59
59	86	57
60	87	56
61	89	54
62	90	53
63	92	51
64	93	50
65	95	49
66	96	47
67	98	46
68	99	44
69	101	43
70	102	41
71	104	40
72	105	39
73	106	37
74	108	36
75	110	34
76	111	33
77	112	31
78	114	30
79	115	28
80	117	27
81	118	26
82	120	24
83	121	23
84	123	21
85	124	20
86	126	18
87	127	17
88	129	15
89	130	14
90	132	13
91	133	11
92	134	10
93	136	8
94	137	7
95	139	5
96	140	4
97	142	2
98	143	1
99	145	0
